"rankng of move
","move name
",Year,votes,RATNG,certfcate,runtme,genre,metascore,"DETAL ABOUT MOVE
","DRECTOR
","ACTOR 1
","ACTOR 2
",ACTOR 3,ACTOR 4,"GROSS COLLECTON
"
727,Stagecoach,1939,48534,7.8,U,96 mn,"Adventure, Drama, Western",93,A group of people travelng on a stagecoach fnd ther journey complcated by the threat of Geronmo and learn somethng about each other n the process.,John Ford,John Wayne,Clare Trevor,Andy Devne,John Carradne,
728,You Can't Take t wth You,1938,25690,7.8,U,126 mn,"Comedy, Drama, Romance",,"The son of a snobbsh Wall Street banker becomes engaged to a woman from a good-natured but decdedly eccentrc famly, not realzng that hs father s tryng to force her famly from ther home for a real estate development.",Frank Capra,Jean Arthur,James Stewart,Lonel Barrymore,Edward Arnold,$4.66M
729,The Lady Vanshes,1938,52179,7.8,A,96 mn,"Mystery, Thrller",98,"Whle travellng n contnental Europe, a rch young playgrl realzes that an elderly lady seems to have dsappeared from the tran.",Alfred Htchcock,Margaret Lockwood,Mchael Redgrave,Paul Lukas,May Whtty,
730,Brngng Up Baby,1938,61077,7.8,,102 mn,Comedy,91,"Whle tryng to secure a $1 mllon donaton for hs museum, a befuddled paleontologst s pursued by a flghty and often rrtatng heress and her pet leopard, Baby.",Howard Hawks,Katharne Hepburn,Cary Grant,Charles Ruggles,Walter Catlett,
731,A Nght at the Opera,1935,32782,7.8,U,96 mn,"Comedy, Musc, Muscal",,A sly busness manager and the wacky frends of two opera sngers n taly help them acheve success n Amerca whle humlatng ther stuffy and snobbsh enemes.,Sam Wood,Edmund Gouldng,Groucho Marx,Chco Marx,Harpo Marx,$2.54M
732,Brde of Frankensten,1935,47707,7.8,A,75 mn,"Drama, Horror, Sc-F",95,"reveals the man characters of her novel survved: Dr. Frankensten, goaded by an even madder scentst, bulds hs monster a mate.",James Whale,Bors Karloff,Elsa Lanchester,Coln Clve,Valere Hobson,$4.36M
733,Duck Soup,1933,59875,7.8,U,69 mn,"Comedy, Muscal",93,"Rufus T. Frefly s named the dctator of bankrupt Freedona and declares war on neghborng Sylvana over the love of hs wealthy backer Mrs. Teasdale, contendng wth two nept spes who can't seem to keep straght whch sde they're on.",Leo McCarey,Groucho Marx,Harpo Marx,Chco Marx,Zeppo Marx,
734,Frankensten,1931,71415,7.8,PG,70 mn,"Drama, Horror, Sc-F",91,Dr. Frankensten dares to tamper wth lfe and death by creatng a human monster out of lfeless body parts.,James Whale,Coln Clve,Mae Clarke,Bors Karloff,John Boles,
735,Roma,2018,155549,7.7,15,135 mn,Drama,96,A year n the lfe of a mddle-class famly's mad n Mexco Cty n the early 1970s.,Alfonso Cuarón,Yaltza Aparco,Marna de Tavra,Dego Cortna Autrey,Carlos Peralta,
736,Deadpool 2,2018,559462,7.7,15,119 mn,"Acton, Adventure, Comedy",66,"Foul-mouthed mutant mercenary Wade Wlson  a.k.a. Deadpool  assembles a team of fellow mutant rogues to protect a young boy wth supernatural abltes from the brutal, tme-travelng cyborg Cable.",Davd Letch,Ryan Reynolds,Josh Broln,Morena Baccarn,Julan Dennson,$324.59M
737,Sound of Metal,2019,120732,7.7,15,120 mn,"Drama, Musc",82,A heavy-metal drummer's lfe s thrown nto freefall when he begns to lose hs hearng.,Darus Marder,Rz Ahmed,Olva Cooke,Paul Rac,Lauren Rdloff,
738,Wnd Rver,2017,245344,7.7,15,107 mn,"Crme, Drama, Mystery",73,A veteran hunter helps an FB agent nvestgate the murder of a young woman on a Wyomng Natve Amercan reservaton.,Taylor Sherdan,Elzabeth Olsen,Jeremy Renner,Graham Greene,Kelsey Asblle,$33.80M
739,The Salesman,2016,60009,7.7,12,124 mn,Drama,85,"Whle Ranaa and Emad, a marred couple, are partcpatng n a producton of ""Death of a Salesman,"" she s assaulted n ther new home, whch leaves hm determned to fnd the perpetrator over hs wfe's traumatzed objectons.",Asghar Farhad,Taraneh Aldoost,Shahab Hossen,Babak Karm,Mna Sadat,$2.40M
740,Get Out,2017,566365,7.7,15,104 mn,"Horror, Mystery, Thrller",85,"A young Afrcan-Amercan vsts hs whte grlfrend's parents for the weekend, where hs smmerng uneasness about ther recepton of hm eventually reaches a bolng pont.",Jordan Peele,Danel Kaluuya,Allson Wllams,Bradley Whtford,Catherne Keener,$176.04M
741,Msson: mpossble - Fallout,2018,324688,7.7,12A,147 mn,"Acton, Adventure, Thrller",86,"Ethan Hunt and hs MF team, along wth some famlar alles, race aganst tme after a msson gone wrong.",Chrstopher McQuarre,Tom Cruse,Henry Cavll,Vng Rhames,Smon Pegg,$220.16M
742,Perfect Strangers,2016,64462,7.7,,96 mn,"Comedy, Drama",,"Seven long-tme frends meet for dnner. They decde to share ther text messages, emals and phone calls. Secrets are unveled. Harmony trembles.",Paolo Genovese,Guseppe Battston,Anna Fogletta,Marco Galln,Edoardo Leo,
743,Udta Punjab,2016,30232,7.7,15,148 mn,"Acton, Crme, Drama",,A story that revolves around drug abuse n the affluent north ndan State of Punjab and how the youth there have succumbed to t en-masse resultng n a soco-economc declne.,Abhshek Chaubey,Shahd Kapoor,Ala Bhatt,Kareena Kapoor,Dljt Dosanjh,
744,Kubo and the Two Strngs,2016,127742,7.7,PG,101 mn,"Anmaton, Acton, Adventure",84,A young boy named Kubo must locate a magcal sut of armour worn by hs late father n order to defeat a vengeful sprt from the past.,Travs Knght,Charlze Theron,Art Parknson,Matthew McConaughey,Ralph Fennes,$48.02M
745,A Man Called Ove,2015,54149,7.7,15,116 mn,"Comedy, Drama, Romance",70,"Ove, an ll-tempered, solated retree who spends hs days enforcng block assocaton rules and vstng hs wfe's grave, has fnally gven up on lfe just as an unlkely frendshp develops wth hs bosterous new neghbors.",Hannes Holm,Rolf Lassgård,Bahar Pars,Flp Berg,da Engvoll,$3.36M
746,When Marne Was There,2014,39662,7.7,U,103 mn,"Anmaton, Drama, Famly",72,"Due to 12 y.o. Anna's asthma, she's sent to stay wth relatves of her guardan n the Japanese countrysde. She lkes to be alone, sketchng. She befrends Marne. Who s the mysterous, blonde Marne.",Hromasa Yonebayash,Sara Takatsuk,Kasum Armura,Nanako Matsushma,Susumu Terajma,$0.77M
747,The Theory of Everythng,2014,442680,7.7,12A,123 mn,"Bography, Drama, Romance",71,A look at the relatonshp between the famous physcst  and hs wfe.,James Marsh,Edde Redmayne,Felcty Jones,Tom Pror,Sophe Perry,$35.89M
748,Kngsman: The Secret Servce,2014,655599,7.7,15,129 mn,"Acton, Adventure, Comedy",60,"A spy organsaton recruts a promsng street kd nto the agency's tranng program, whle a global threat emerges from a twsted tech genus.",Matthew Vaughn,Coln Frth,Taron Egerton,Samuel L. Jackson,Mchael Cane,$128.26M
749,The Fault n Our Stars,2014,370751,7.7,12A,126 mn,"Drama, Romance",69,Two teenage cancer patents begn a lfe-affrmng journey to vst a reclusve author n Amsterdam.,Josh Boone,Shalene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,$124.87M
750,Me and Earl and the Dyng Grl,2015,130663,7.7,12A,105 mn,"Comedy, Drama",74,"Hgh schooler Greg, who spends most of hs tme makng parodes of classc moves wth hs co-worker Earl, fnds hs outlook forever altered after befrendng a classmate who has just been dagnosed wth cancer.",Alfonso Gomez-Rejon,Thomas Mann,RJ Cyler,Olva Cooke,Nck Offerman,$6.74M
751,Brdman or  The Unexpected Vrtue of gnorance ,2014,620596,7.7,15,119 mn,"Comedy, Drama",87,"A washed-up superhero actor attempts to revve hs fadng career by wrtng, drectng, and starrng n a Broadway producton.",Alejandro G. ñárrtu,Mchael Keaton,Zach Galfanaks,Edward Norton,Andrea Rseborough,$42.34M
752,The Past,2013,48729,7.7,12A,130 mn,"Drama, Mystery",85,"An ranan man deserts hs French wfe and her two chldren to return to hs homeland. Meanwhle, hs wfe starts up a new relatonshp, a realty her husband confronts upon hs wfe's request for a dvorce.",Asghar Farhad,Bérénce Bejo,Tahar Rahm,Al Mosaffa,Paulne Burlet,$1.33M
753,The Great Beauty,2013,89769,7.7,15,141 mn,Drama,86,"Jep Gambardella has seduced hs way through the lavsh nghtlfe of Rome for decades, but after hs 65th brthday and a shock from the past, Jep looks past the nghtclubs and partes to fnd a tmeless landscape of absurd, exquste beauty.",Paolo Sorrentno,Ton Servllo,Carlo Verdone,Sabrna Ferll,Carlo Buccrosso,$2.85M
754,Blue s the Warmest Colour,2013,150350,7.7,18,180 mn,"Drama, Romance",89,"Adèle's lfe s changed when she meets Emma, a young woman wth blue har, who wll allow her to dscover desre and to assert herself as a woman and as an adult. n front of others, Adèle grows, seeks herself, loses herself, and ultmately fnds herself through love and loss.",Abdellatf Kechche,Léa Seydoux,Adèle Exarchopoulos,Salm Kechouche,Aurélen Recong,$2.20M
755,The Broken Crcle Breakdown,2012,41075,7.7,15,111 mn,"Drama, Musc, Romance",70,"Else and Dder fall n love at frst sght, n spte of ther dfferences. He talks, she lstens. He's a romantc athest, she's a relgous realst. When ther daughter becomes serously ll, ther love s put on tral.",Felx van Groenngen,Veerle Baetens,Johan Heldenbergh,Nell Cattrysse,Geert Van Rampelberg,$0.18M
756,The Wnd Rses,2013,84020,7.7,PG,126 mn,"Anmaton, Bography, Drama",83,"A look at the lfe of Jro Horkosh, the man who desgned Japanese fghter planes durng World War .",Hayao Myazak,Hdeak Anno,Hdetosh Nshjma,Mor Takmoto,Masahko Nshmura,$5.21M
757,Toy Story 4,2019,241422,7.7,U,100 mn,"Anmaton, Adventure, Comedy",84,"When a new toy called ""Forky"" jons Woody and the gang, a road trp alongsde old and new frends reveals how bg the world can be for a toy.",Josh Cooley,Tom Hanks,Tm Allen,Anne Potts,Tony Hale,$434.04M
758,Nebraska,2013,117664,7.7,15,115 mn,"Adventure, Comedy, Drama",87,"An agng, booze-addled father makes the trp from Montana to Nebraska wth hs estranged son n order to clam a mllon-dollar Mega Sweepstakes Marketng prze.",Alexander Payne,Bruce Dern,Wll Forte,June Squbb,Bob Odenkrk,$17.65M
759,Wreck-t Ralph,2012,414385,7.7,PG,101 mn,"Anmaton, Adventure, Comedy",72,"A vdeo game vllan wants to be a hero and sets out to fulfll hs dream, but hs quest brngs havoc to the whole arcade where he lves.",Rch Moore,John C. Relly,Jack McBrayer,Jane Lynch,Sarah Slverman,$189.42M
760,The Lttle Prnce,2015,61585,7.7,PG,108 mn,"Anmaton, Adventure, Drama",70,"A lttle grl lves n a very grown-up world wth her mother, who tres to prepare her for t. Her neghbor, the Avator, ntroduces the grl to an extraordnary world where anythng s possble, the world of the Lttle Prnce.",Mark Osborne,Jeff Brdges,Mackenze Foy,Rachel McAdams,Maron Cotllard,$1.34M
761,Detachment,2011,84494,7.7,15,98 mn,Drama,52,A substtute teacher who drfts from classroom to classroom fnds a connecton to the students and teachers durng hs latest assgnment.,Tony Kaye,Adren Brody,Chrstna Hendrcks,Marca Gay Harden,Lucy Lu,$0.07M
762,Mdnght n Pars,2011,418527,7.7,12A,94 mn,"Comedy, Fantasy, Romance",81,"Whle on a trp to Pars wth hs fancée's famly, a nostalgc screenwrter fnds hmself mysterously gong back to the 1920s every day at mdnght.",Woody Allen,Owen Wlson,Rachel McAdams,Kathy Bates,Kurt Fuller,$56.82M
763,Confessons,2010,38883,7.7,15,106 mn,"Drama, Thrller",,A psychologcal thrller of a grevng mother turned cold-blooded avenger wth a twsty master plan to pay back those who were responsble for her daughter's death.,Tetsuya Nakashma,Takako Matsu,Yoshno Kmura,Masak Okada,Yukto Nsh,
764,The Man from Nowhere,2010,68909,7.7,18,119 mn,"Acton, Crme, Drama",,A quet pawnshop keeper wth a volent past takes on a drug-and-organ traffckng rng n hope of savng the chld who s hs only frend.,Jeong-beom Lee,Won Bn,Km Sae-ron,Km Tae-hoon,Km Hee-won,$0.01M
765,The Lego Move,2014,348889,7.7,U,100 mn,"Anmaton, Acton, Adventure",83,"An ordnary LEGO constructon worker, thought to be the prophesed as ""specal"", s recruted to jon a quest to stop an evl tyrant from glung the LEGO unverse nto eternal stass.",Phl Lord,Chrstopher Mller,Chrs Pratt,Wll Ferrell,Elzabeth Banks,$257.76M
766,Gravty,2013,814554,7.7,12A,91 mn,"Acton, Drama, Sc-F",96,Two astronauts work together to survve after an accdent leaves them stranded n space.,Alfonso Cuarón,Sandra Bullock,George Clooney,Ed Harrs,Orto gnatussen,$274.09M
767,Star Trek nto Darkness,2013,480575,7.7,12A,132 mn,"Acton, Adventure, Sc-F",72,"After the crew of the Enterprse fnd an unstoppable force of terror from wthn ther own organzaton, Captan Krk leads a manhunt to a war-zone world to capture a one-man weapon of mass destructon.",J.J. Abrams,Chrs Pne,Zachary Qunto,Zoe Saldana,Benedct Cumberbatch,$228.78M
768,Beasts of No Naton,2015,80651,7.7,15,137 mn,"Drama, War",79,"A drama based on the experences of Agu, a chld solder fghtng n the cvl war of an unnamed Afrcan country.",Cary Joj Fukunaga,Abraham Attah,Emmanuel Affadz,Rcky Adelaytor,Andrew Adote,$0.08M
769,X-Men: Frst Class,2011,683337,7.7,12A,131 mn,"Acton, Adventure, Sc-F",65,"n the 1960s, superpowered humans Charles Xaver and Erk Lensherr work together to fnd others lke them, but Erk's vengeful pursut of an ambtous mutant who runed hs lfe causes a schsm to dvde them.",Matthew Vaughn,James McAvoy,Mchael Fassbender,Jennfer Lawrence,Kevn Bacon,$146.41M
770,The Hangover,2009,771132,7.7,15,100 mn,Comedy,73,"Three buddes wake up from a bachelor party n Las Vegas, wth no memory of the prevous nght and the bachelor mssng. They make ther way around the cty n order to fnd ther frend before hs weddng.",Todd Phllps,Zach Galfanaks,Bradley Cooper,Justn Bartha,Ed Helms,$277.32M
771,The Tral of the Chcago 7,2020,172678,7.7,15,129 mn,"Drama, Hstory, Thrller",76,"The story of 7 people on tral stemmng from varous charges surroundng the uprsng at the 1968 Democratc Natonal Conventon n Chcago, llnos.",Aaron Sorkn,Edde Redmayne,Alex Sharp,Sacha Baron Cohen,Jeremy Strong,
772,Slver Lnngs Playbook,2012,701069,7.7,15,122 mn,"Comedy, Drama, Romance",81,"After a stnt n a mental nsttuton, former teacher Pat Soltano moves back n wth hs parents and tres to reconcle wth hs ex-wfe. Thngs get more challengng when Pat meets Tffany, a mysterous grl wth problems of her own.",Davd O. Russell,Bradley Cooper,Jennfer Lawrence,Robert De Nro,Jack Weaver,$132.09M
773,Another Round,2020,146224,7.7,12A,117 mn,"Comedy, Drama",79,Four hgh-school teachers consume alcohol on a daly bass to see how t affects ther socal and professonal lves.,Thomas Vnterberg,Mads Mkkelsen,Thomas Bo Larsen,Magnus Mllang,Lars Ranthe,
774,Argo,2012,607967,7.7,15,120 mn,"Bography, Drama, Thrller",86,"Actng under the cover of a Hollywood producer scoutng a locaton for a scence fcton flm, a CA agent launches a dangerous operaton to rescue sx Amercans n Tehran durng the U.S. hostage crss n ran n 1979.",Ben Affleck,Ben Affleck,Bryan Cranston,John Goodman,Alan Arkn,$136.03M
775,500 Days of Summer,2009,505726,7.7,12A,95 mn,"Comedy, Drama, Romance",76,"After beng dumped by the grl he beleves to be hs soulmate, hopeless romantc Tom Hansen reflects on ther relatonshp to try and fgure out where thngs went wrong and how he can wn her back.",Marc Webb,Zooey Deschanel,Joseph Gordon-Levtt,Geoffrey Arend,Chloë Grace Moretz,$32.39M
776,Harry Potter and the Deathly Hallows: Part 1,2010,535110,7.7,12A,146 mn,"Adventure, Famly, Fantasy",65,"As Harry, Ron, and Hermone race aganst tme and evl to destroy the Horcruxes, they uncover the exstence of the three most powerful objects n the wzardng world: the Deathly Hallows.",Davd Yates,Danel Radclffe,Emma Watson,Rupert Grnt,Bll Nghy,$295.98M
777,The Boy n the Strped Pyjamas,2008,214510,7.7,12A,94 mn,"Drama, War",55,"Through the nnocent eyes of Bruno, the eght-year-old son of the commandant at a German concentraton camp, a forbdden frendshp wth a Jewsh boy on the other sde of the camp fence has startlng and unexpected consequences.",Mark Herman,Asa Butterfeld,Davd Thewls,Rupert Frend,Zac Mattoon O'Bren,$9.03M
778,The Edge of Heaven,2007,32040,7.7,18,122 mn,Drama,85,A Turksh man travels to stanbul to fnd the daughter of hs father's former grlfrend.,Fath Akn,Bak Davrak,Gürsoy Gemec,Cengz Daner,Tuncel Kurtz,$0.74M
779,Frost/Nxon,2008,107749,7.7,15,122 mn,"Bography, Drama, Hstory",80,A dramatc retellng of the post-Watergate televson ntervews between Brtsh talk-show host  and former presdent .,Ron Howard,Frank Langella,Mchael Sheen,Kevn Bacon,Sam Rockwell,$18.59M
780,Paprka,2006,81551,7.7,15,90 mn,"Anmaton, Drama, Fantasy",81,"When a machne that allows therapsts to enter ther patents' dreams s stolen, all hell breaks loose. Only a young female therapst, Paprka, can stop t.",Satosh Kon,Megum Hayashbara,Tôru Emor,Katsunosuke Hor,Tôru Furuya,$0.88M
781,Flpped,2010,89233,7.7,PG,90 mn,"Comedy, Drama, Romance",45,Two eghth-graders start to have feelngs for each other despte beng total oppostes.,Rob Rener,Madelne Carroll,Callan McAulffe,Rebecca De Mornay,Anthony Edwards,$1.75M
782,The Grl Who Leapt Through Tme,2006,65606,7.7,12A,98 mn,"Anmaton, Adventure, Comedy",,"A hgh-school grl named Makoto acqures the power to travel back n tme, and decdes to use t for her own personal benefts. Lttle does she know that she s affectng the lves of others just as much as she s her own.",Mamoru Hosoda,Rsa Naka,Takuya shda,Mtsutaka takura,Ayam Kakuch,
783,Ths s England,2006,121681,7.7,18,101 mn,"Crme, Drama",86,"A young boy becomes frends wth a gang of sknheads. Frends soon become lke famly, and relatonshps wll be pushed to the very lmt.",Shane Meadows,Thomas Turgoose,Stephen Graham,Jo Hartley,Andrew Shm,$0.33M
784,Ex Machna,2014,531677,7.7,15,108 mn,"Drama, Sc-F, Thrller",78,A young programmer s selected to partcpate n a ground-breakng experment n synthetc ntellgence by evaluatng the human qualtes of a hghly advanced humanod A..,Alex Garland,Alca Vkander,Domhnall Gleeson,Oscar saac,Sonoya Mzuno,$25.44M
785,After the Weddng,2006,34572,7.7,15,120 mn,Drama,78,"A manager of an orphanage n nda s sent to Copenhagen, Denmark, where he dscovers a lfe-alterng famly secret.",Susanne Ber,Mads Mkkelsen,Sdse Babett Knudsen,Rolf Lassgård,Neeral Mulchandan,$0.41M
786,The Last Kng of Scotland,2006,185094,7.7,15,123 mn,"Bography, Drama, Hstory",74,Based on the events of the brutal Ugandan dctator 's regme as seen by hs personal physcan durng the 1970s.,Kevn Macdonald,James McAvoy,Forest Whtaker,Gllan Anderson,Kerry Washngton,$17.61M
787,Zodac,2007,527916,7.7,15,157 mn,"Crme, Drama, Mystery",78,"Between 1968 and 1983, a San Francsco cartoonst becomes an amateur detectve obsessed wth trackng down the Zodac Kller, an undentfed ndvdual who terrorzes Northern Calforna wth a kllng spree.",Davd Fncher,Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,Anthony Edwards,$33.08M
788,Lucky Number Slevn,2006,311366,7.7,18,110 mn,"Crme, Drama, Thrller",53,"A case of mstaken dentty lands Slevn nto the mddle of a war beng plotted by two of the cty's most rval crme bosses. Under constant survellance by Detectve Brkowsk and assassn Goodkat, he must get them before they get hm.",Paul McGugan,Josh Hartnett,Ben Kngsley,Morgan Freeman,Lucy Lu,$22.49M
789,Joyeux Noel,2005,29737,7.7,12A,116 mn,"Drama, Hstory, Musc",70,"n December 1914, an unoffcal Chrstmas truce on the Western Front allows solders from opposng sdes of the Frst World War to gan nsght nto each other's way of lfe.",Chrstan Caron,Dane Kruger,Benno Fürmann,Gullaume Canet,Natale Dessay,$1.05M
790,Control,2007,65001,7.7,15,122 mn,"Bography, Drama, Musc",78,"A profle of , the engmatc snger of  whose personal, professonal, and romantc troubles led hm to commt sucde at the age of 23.",Anton Corbjn,Sam Rley,Samantha Morton,Crag Parknson,Alexandra Mara Lara,$0.87M
791,Adam's Apples,2005,50436,7.7,R,94 mn,"Comedy, Crme, Drama",51,A neo-Naz sentenced to communty servce at a church clashes wth the blndly devoted mnster.,Anders Thomas Jensen,Ulrch Thomsen,Mads Mkkelsen,Ncolas Bro,Paprka Steen,$0.00M
792,Tangled,2010,443137,7.7,PG,100 mn,"Anmaton, Adventure, Comedy",71,"The magcally long-hared Rapunzel has spent her entre lfe n a tower, but now that a runaway thef has stumbled upon her, she s about to dscover the world for the frst tme, and who she really s.",Nathan Greno,Byron Howard,Mandy Moore,Zachary Lev,Donna Murphy,$200.82M
793,Black Book,2006,76610,7.7,15,145 mn,"Drama, Thrller, War",71,"n the Naz-occuped Netherlands durng World War , a Jewsh snger nfltrates the regonal Gestapo headquarters for the Dutch resstance.",Paul Verhoeven,Carce van Houten,Sebastan Koch,Thom Hoffman,Halna Rejn,$4.40M
794,Brokeback Mountan,2005,352240,7.7,15,134 mn,"Drama, Romance",87,Enns and Jack are two shepherds who develop a sexual and emotonal relatonshp. Ther relatonshp becomes complcated when both of them get marred to ther respectve grlfrends.,Ang Lee,Jake Gyllenhaal,Heath Ledger,Mchelle Wllams,Randy Quad,$83.04M
795,3:10 to Yuma,2007,307732,7.7,15,122 mn,"Acton, Crme, Drama",76,A small-tme rancher agrees to hold a captured outlaw who's awatng a tran to go to court n Yuma. A battle of wlls ensues as the outlaw tres to psych out the rancher.,James Mangold,Russell Crowe,Chrstan Bale,Ben Foster,Logan Lerman,$53.61M
796,Kung Fu Hustle,2004,137769,7.7,15,99 mn,"Acton, Comedy, Fantasy",78,"n Shangha, Chna n the 1940s, a wannabe gangster aspres to jon the notorous ""Axe Gang"" whle resdents of a housng complex exhbt extraordnary powers n defendng ther turf.",Stephen Chow,Stephen Chow,Wah Yuen,Qu Yuen,Su-Lung Leung,$17.11M
797,The Bourne Supremacy,2004,458841,7.7,12A,108 mn,"Acton, Mystery, Thrller",73,"When Jason Bourne s framed for a CA operaton gone awry, he s forced to resume hs former lfe as a traned assassn to survve.",Paul Greengrass,Matt Damon,Franka Potente,Joan Allen,Bran Cox,$176.24M
798,The Machnst,2004,383930,7.7,15,101 mn,"Drama, Thrller",61,An ndustral worker who hasn't slept n a year begns to doubt hs own santy.,Brad Anderson,Chrstan Bale,Jennfer Jason Legh,Atana Sánchez-Gjón,John Sharan,$1.08M
799,Ray,2004,146667,7.7,15,152 mn,"Bography, Drama, Musc",73,"The story of the lfe and career of the legendary rhythm and blues muscan , from hs humble begnnngs n the South, where he went blnd at age seven, to hs meteorc rse to stardom durng the 1950s and 1960s.",Taylor Hackford,Jame Foxx,Regna Kng,Kerry Washngton,Clfton Powell,$75.33M
800,Evl,2003,38410,7.7,15,113 mn,Drama,61,"A teenage boy expelled from school for fghtng arrves at a boardng school where the systematc bullyng of younger students s encouraged as a means to mantan dscplne, and decdes to fght back.",Mkael Håfström,Andreas Wlson,Henrk Lundström,Gustaf Skarsgård,Lnda Zllacus,$0.02M
801,Lost n Translaton,2003,446835,7.7,15,102 mn,"Comedy, Drama",89,A faded move star and a neglected young woman form an unlkely bond after crossng paths n Tokyo.,Sofa Coppola,Bll Murray,Scarlett Johansson,Govann Rbs,Anna Fars,$44.59M
802,Harry Potter and the Goblet of Fre,2005,611437,7.7,12A,157 mn,"Adventure, Famly, Fantasy",81,"Harry Potter fnds hmself competng n a hazardous tournament between rval schools of magc, but he s dstracted by recurrng nghtmares.",Mke Newell,Danel Radclffe,Emma Watson,Rupert Grnt,Erc Sykes,$290.01M
803,Man on Fre,2004,358240,7.7,18,146 mn,"Acton, Crme, Drama",47,"n Mexco Cty, a former CA operatve swears vengeance on those who commtted an unspeakable act aganst the famly he was hred to protect.",Tony Scott,Denzel Washngton,Chrstopher Walken,Dakota Fannng,Radha Mtchell,$77.91M
804,Coralne,2009,221379,7.7,PG,100 mn,"Anmaton, Drama, Famly",80,"An adventurous 11-year-old grl fnds another world that s a strangely dealzed verson of her frustratng home, but t has snster secrets.",Henry Selck,Dakota Fannng,Ter Hatcher,John Hodgman,Jennfer Saunders,$75.29M
805,The Magdalene Ssters,2002,27190,7.7,15,114 mn,Drama,83,Three young rsh women struggle to mantan ther sprts whle they endure dehumanzng abuse as nmates of a Magdalene Ssters Asylum.,Peter Mullan,Eleen Walsh,Dorothy Duffy,Nora-Jane Noone,Anne-Mare Duff,$4.89M
806,21 Grams,2003,235206,7.7,15,124 mn,"Crme, Drama, Thrller",70,"A freak accdent brngs together a crtcally ll mathematcan, a grevng mother, and a born-agan ex-con.",Alejandro G. ñárrtu,Sean Penn,Benco Del Toro,Naom Watts,Danny Huston,$16.29M
807,Fndng Neverland,2004,205743,7.7,PG,106 mn,"Bography, Drama, Famly",67,The story of Sr 's frendshp wth a famly who nspred hm to create Peter Pan.,Marc Forster,Johnny Depp,Kate Wnslet,Jule Chrste,Radha Mtchell,$51.68M
808,Good Bye Lenn!,2003,145278,7.7,15,121 mn,"Comedy, Drama, Romance",68,"n 1990, to protect hs fragle mother from a fatal shock after a long coma, a young man must keep her from learnng that her beloved naton of East Germany as she knew t has dsappeared.",Wolfgang Becker,Danel Brühl,Katrn Sass,Chulpan Khamatova,Floran Lukas,$4.06M
809,n Amerca,2002,43010,7.7,15,105 mn,Drama,76,A famly of rsh mmgrants adjust to lfe on the mean streets of Hell's Ktchen whle also grevng the death of a chld.,Jm Sherdan,Paddy Consdne,Samantha Morton,Djmon Hounsou,Sarah Bolger,$15.54M
810,The Trplets of Bellevlle,2003,54279,7.7,12,80 mn,"Anmaton, Comedy, Drama",91,"When her grandson s kdnapped durng the Tour de France, Madame Souza and her beloved pooch Bruno team up wth the Bellevlle Ssters--an aged song-and-dance team from the days of Fred Astare--to rescue hm.",Sylvan Chomet,Mchèle Caucheteux,Jean-Claude Donda,Mchel Robn,Monca Vegas,$7.00M
811,Adaptaton.,2002,191094,7.7,15,115 mn,"Comedy, Drama",83,A lovelorn screenwrter becomes desperate as he tres and fals to adapt 'The Orchd Thef' by  for the screen.,Spke Jonze,Ncolas Cage,Meryl Streep,Chrs Cooper,Tlda Swnton,$22.25M
812,Black Hawk Down,2001,390934,7.7,15,144 mn,"Acton, Drama, Hstory",74,"The story of 160 elte U.S. solders who dropped nto Mogadshu n October 1993 to capture two top leutenants of a renegade warlord, but found themselves n a desperate battle wth a large force of heavly-armed Somals.",Rdley Scott,Josh Hartnett,Ewan McGregor,Tom Szemore,Erc Bana,$108.64M
813,Road to Perdton,2002,264797,7.7,15,117 mn,"Crme, Drama, Thrller",72,"A mob enforcer's son n 1930s llnos wtnesses a murder, forcng hm and hs father to take to the road, and hs father down a path of redempton and revenge.",Sam Mendes,Tom Hanks,Tyler Hoechln,Rob Maxey,Lam Aken,$104.45M
814,Das Experment,2001,93600,7.7,18,120 mn,"Drama, Thrller",60,"For two weeks, 20 male partcpants are hred to play prsoners and guards n a prson. The ""prsoners"" have to follow seemngly mld rules, and the ""guards"" are told to retan order wthout usng physcal volence.",Olver Hrschbegel,Mortz Blebtreu,Chrstan Berkel,Olver Stokowsk,Wotan Wlke Möhrng,$0.14M
815,Blly Ellot,2000,134128,7.7,15,110 mn,"Drama, Musc",74,A talented young boy becomes torn between hs unexpected love of dance and the dsntegraton of hs famly.,Stephen Daldry,Jame Bell,Jule Walters,Jean Heywood,Jame Draven,$22.00M
816,Hedwg and the Angry nch,2001,35471,7.7,15,95 mn,"Comedy, Drama, Musc",85,A gender-queer punk-rock snger from East Berln tours the U.S. wth her band as she tells her lfe story and follows the former lover/band-mate who stole her songs.,John Cameron Mtchell,John Cameron Mtchell,Mram Shor,Stephen Trask,Theodore Lscnsk,$3.03M
817,The Count of Monte Crsto,2002,137108,7.7,UA,131 mn,"Acton, Adventure, Drama",61,"A young man, falsely mprsoned by hs jealous ""frend"", escapes and uses a hdden treasure to exact hs revenge.",Kevn Reynolds,Jm Cavezel,Guy Pearce,Chrstopher Adamson,JB Blanc,$54.23M
